Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
28/09/2018,"23 GREYGATES, STILLORGAN RD, MOUNT MERRION",,Dublin,"€940,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2014,"30 Bellamont View, Cootehill",,Cavan,"€138,678.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
05/11/2019,"1 NEWHAVEN AVE, FLEMINGTON LANE, BALBRIGGAN",,Dublin,"€328,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2016,"16 TIERACLEA PARK, TARBERT, LISTOWEL",,Kerry,"€129,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"EAST GREEN, CLARA, OFFALY",,Offaly,"€10,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/05/2014,"40 ABBEY COURT, KILLALA RD, BALLINA",,Mayo,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2020,"KILLEGLAND FARM, ASHBOURNE, MEATH",,Meath,"€925,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2018,"14 OLDFIELD HALL, TICKNOCK HILL, SANDYFORD DUBLIN 18",Dublin 18,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2015,"34 WESTMINSTER LAWNS, FOXROCK, DUBLIN 18",Dublin 18,Dublin,"€775,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2017,"14 WYATTVILLE PARK, BALLYBRACK, DUBLIN",,Dublin,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2016,"103 CASTLETOWN RD, DUNDALK, LOUTH",,Louth,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2013,"106, Fitzherbert Court, Navan",,Meath,"€158,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2016,"1 THE OLD LAWN, MAIN STREET, CARRICK",,Donegal,"€135,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
