Not_Full_Market_Price,Year_of_Sale,Location,New_Property_VAT_Exclusive,Properties_purchased_each_year,Wealth_in_Ireland,Ireland_Mortgage_Rates,Log_Price
1,2010,Dublin 18,0,413,161348.0,0.0402,9.903487552536127
0,2016,Dublin 15,0,1006,190618.0,0.0361,11.635493832639963
0,2013,Kildare,0,547,162434.0,0.0438,12.206072645530174
0,2019,Dublin 1,0,1154,215555.0,0.0302,12.821258284620408
0,2010,Longford,0,413,161348.0,0.0402,11.695247021764184
0,2019,Westmeath,1,1154,215555.0,0.0302,12.533695268144246
1,2013,Dublin,0,547,162434.0,0.0438,10.964917050076522
0,2018,Dublin 2,0,1122,210015.0,0.0321,13.740787011768338
0,2012,Donegal,0,485,152843.0,0.0433,12.180754837545884
0,2019,Cork,1,1154,215555.0,0.0302,12.447551080865528
0,2010,Louth,0,413,161348.0,0.0402,12.086725887897607
0,2013,Kildare,0,547,162434.0,0.0438,12.409013489526863
0,2015,Tipperary,0,998,180068.0,0.0405,11.350406535472453
0,2021,Dublin,0,1060,212773.0,0.028,12.948009990259552
0,2018,Roscommon,0,1122,210015.0,0.0321,12.429216196844383
0,2017,Dublin 4,0,1081,199406.0,0.0344,12.978493006984626
0,2016,Wexford,0,1006,190618.0,0.0361,11.996893634566337
0,2010,Louth,1,413,161348.0,0.0402,11.824547696258339
0,2018,Dublin 15,0,1122,210015.0,0.0321,12.301382825334498
0,2019,Monaghan,1,1154,215555.0,0.0302,12.21920108914552
0,2017,Cork,0,1081,199406.0,0.0344,12.354492650648448
0,2017,Offaly,0,1081,199406.0,0.0344,12.560244459250788
0,2017,Dublin,1,1081,199406.0,0.0344,12.474854771396926
0,2016,Cork,0,1006,190618.0,0.0361,11.957611286231675
0,2017,Dublin,0,1081,199406.0,0.0344,12.487485104968359
0,2021,Kildare,0,1060,212773.0,0.028,12.584509081250419
0,2014,Dublin,1,847,176960.0,0.042,12.113842218415272
0,2019,Dublin 15,0,1154,215555.0,0.0302,12.2783933071098
0,2011,Dublin 4,0,357,155962.0,0.0442,12.765688433465597
0,2011,Dublin,0,357,155962.0,0.0442,13.527828485512494
0,2020,Waterford,0,917,208098.0,0.0292,12.506177237980511
0,2017,Galway,1,1081,199406.0,0.0344,11.916921093922562
0,2019,Dublin,1,1154,215555.0,0.0302,13.258094982784607
0,2016,Dublin 8,0,1006,190618.0,0.0361,12.180754837545884
